OBJECTID,MUKEY,GIS_ID,TYPE,DESC_,SLOPE,TYPEDESC,SLOPEDESC,TYPE_ORIG,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,128629,SoilPly_1,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{BF705806-0E43-4166-A7DD-9E08DF9AD3F7},,,,,0,0
2,128630,SoilPly_2,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{38907434-8D3A-4CFA-AA20-79C52D22CB85},,,,,0,0
3,128632,SoilPly_3,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{036A148A-BE09-43AA-A4F4-B7E85975FBD8},,,,,0,0
4,128628,SoilPly_26,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{FCFEA4CC-B325-42D4-86EE-C870D9EA409A},,,,,0,0
5,128672,SoilPly_27,Ub,Urban Land, ,Urban Land, ,Ub,{46810BFC-6145-4F42-8373-08A64AD2C9FD},,,,,0,0
6,128630,SoilPly_28,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{0E1D9458-8B40-4045-9944-F89504FE3D67},,,,,0,0
7,128631,SoilPly_29,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{74BC7158-F208-4E75-ACCF-A01F54AAA926},,,,,0,0
8,128632,SoilPly_30,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{21C41EE8-899C-4D11-8F46-1119123C2C14},,,,,0,0
9,128588,SoilPly_31,Ck,Codorus Silt Loam, ,Codorus Silt Loam, ,Ck,{803ED8D3-E499-4F75-8DD6-C4A8EA26C1EA},,,,,0,0
10,128629,SoilPly_32,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{6DF5ACF2-83FA-45DB-B773-62D1914D444C},,,,,0,0
11,128630,SoilPly_33,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{C1E63766-38EE-4EC4-A678-88F87CA6FF3C},,,,,0,0
12,128612,SoilPly_34,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{261B125B-52E9-4CCF-9B0D-4379BBB56C41},,,,,0,0
13,128632,SoilPly_35,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{F9E74C65-B10B-409C-A35D-8ED7C37F92F8},,,,,0,0
14,128631,SoilPly_36,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{1740076C-BB06-4F9F-97CE-9FCD091C6479},,,,,0,0
15,128628,SoilPly_37,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{89E60E44-3FD2-4AE2-8A04-D737E0E5DC8A},,,,,0,0
16,128612,SoilPly_38,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{008EF576-755F-4ADD-ACFE-B6126708E36F},,,,,0,0
17,128632,SoilPly_39,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{305DAA5F-7914-46C0-848C-A81A0EF0C7E3},,,,,0,0
18,128612,SoilPly_40,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{13C5F963-61E8-4194-9785-0D0D544724AB},,,,,0,0
19,128629,SoilPly_41,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{159385B9-095B-4133-B40E-FB5136BBFCC1},,,,,0,0
20,128612,SoilPly_42,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{68541CD6-0FE9-4DD4-9F79-CADA0EAA15B1},,,,,0,0
21,128608,SoilPly_43,Gh,"Glenelg-urban land complex, 0 to 8 percent slopes",B,Glenelg-urban land complex,0 to 8 percent slopes,GhB,{F359A9C1-3476-4644-9461-F4F1669865F4},,,,,0,0
22,128632,SoilPly_44,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{EC78D498-CD60-4979-B03E-D4D79AFA63BB},,,,,0,0
23,128632,SoilPly_45,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{6D1D55C0-D7B0-432C-A12A-E467855EED8F},,,,,0,0
24,128632,SoilPly_46,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{D7870E23-612F-46A4-972D-572ABC67D22D},,,,,0,0
25,128689,SoilPly_47,W,Water, ,Water, ,W,{3C6C0E4D-9101-4A8C-9243-5A54F2C7D320},,,,,0,0
26,128572,SoilPly_48,Br,"Brandywine gravelly loam,  15 to 40 percent slopes",D,Brandywine gravelly loam,15 to 40 percent slopes,BrD,{C05CD738-2CDE-41AA-B73E-91CE4CCE032E},,,,,0,0
27,128631,SoilPly_49,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{2B93A402-9211-4F68-9BCB-AAD00C742955},,,,,0,0
28,128571,SoilPly_50,Br,"Brandywine gravelly loam,  8 to 15 percent slopes",C,Brandywine gravelly loam,8 to 15 percent slopes,BrC,{1F63808A-660B-477B-82D3-151DB6293E8E},,,,,0,0
29,128670,SoilPly_51,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{085DCA0B-9B50-4AB8-9974-3CB7515DFCF9},,,,,0,0
30,128632,SoilPly_52,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{DC826438-44EE-46E9-B734-0D04B0E6B4D0},,,,,0,0
31,128579,SoilPly_53,Cd,"Chillum-urban land complex,  0 to 8 percent slopes",B,Chillum-urban land complex,0 to 8 percent slopes,CdB,{5D9926DE-A102-4423-8782-84BABC5DB66E},,,,,0,0
32,128612,SoilPly_54,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{93C018CB-8B50-443F-9B0B-C1BB4E13FFDF},,,,,0,0
33,128670,SoilPly_55,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{AF86146F-7E54-4F61-AA32-903935C23865},,,,,0,0
34,128574,SoilPly_56,Bt,"Brandywine-urban land complex, 8 to 15 percent slopes",C,Brandywine-urban land complex,8 to 15 percent slopes,BtC,{40C876E9-6CB8-45E8-8C60-9B529B05866F},,,,,0,0
35,128632,SoilPly_57,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{F25006E1-A3D1-43C8-8F8A-B3EF60786D01},,,,,0,0
36,128627,SoilPly_58,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{8C8E27B3-A56A-45C7-A699-4DFCBD0559E1},,,,,0,0
37,128611,SoilPly_4,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{522CBCB7-B9AE-4BD0-8B31-BCF0A91C1468},,,,,0,0
38,128611,SoilPly_5,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{25D6C7FC-0FCC-4988-916E-5644F2F6B32E},,,,,0,0
39,128629,SoilPly_6,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{CAF6922D-8A48-405E-AEB4-BF56C72550BD},,,,,0,0
40,128628,SoilPly_7,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{05863941-67E0-4A7A-BA6A-221E0BC3747D},,,,,0,0
41,128629,SoilPly_8,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{97608F17-6D12-433A-92E4-95BE77CF0E2A},,,,,0,0
42,128631,SoilPly_9,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{C2DF4A33-8552-4D76-B432-E43545723E9B},,,,,0,0
43,128573,SoilPly_10,Bt,"Brandywine-urban land complex, 0 to 8 percent slopes",B,Brandywine-urban land complex,0 to 8 percent slopes,BtB,{4F8B7CBE-A99D-4ADE-B656-545DD1B2CCFF},,,,,0,0
44,128605,SoilPly_11,Gg,"Glenelg loam, 0 to 8 percent slopes",B,Glenelg loam,0 to 8 percent slopes,GgB,{70F95EE6-B119-4AD7-95E4-547935FDF71F},,,,,0,0
45,128575,SoilPly_12,Bt,"Brandywine-urban land complex, 15 to 40 percent slopes",D,Brandywine-urban land complex,15 to 40 percent slopes,BtD,{C6D5C561-158E-4703-9F79-5D5305C4425F},,,,,0,0
46,128571,SoilPly_13,Br,"Brandywine gravelly loam,  8 to 15 percent slopes",C,Brandywine gravelly loam,8 to 15 percent slopes,BrC,{1DE3392E-9BD5-4330-B440-B1C8246105FE},,,,,0,0
47,128627,SoilPly_14,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{7FF4B399-25EC-40F5-93FD-19463A43A290},,,,,0,0
48,128574,SoilPly_15,Bt,"Brandywine-urban land complex, 8 to 15 percent slopes",C,Brandywine-urban land complex,8 to 15 percent slopes,BtC,{06C2951F-9432-42A8-B5FC-804B1EB832EA},,,,,0,0
49,128606,SoilPly_16,Gg,"Glenelg loam, 8 to 15 percent slopes",C,Glenelg loam,8 to 15 percent slopes,GgC,{4A3638AE-2742-418A-B9AF-A741EB681647},,,,,0,0
50,128630,SoilPly_17,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{39E2B1F6-E053-4957-8A5B-DE6922734234},,,,,0,0
51,128628,SoilPly_18,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{C8081DAC-D663-4626-AAB3-D455661C6523},,,,,0,0
52,128629,SoilPly_19,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{207B87F8-A44A-4A84-A7A3-62AEAF165A86},,,,,0,0
53,128580,SoilPly_20,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{59A8D795-A7B8-47D9-A464-D6CF5F440836},,,,,0,0
54,128628,SoilPly_21,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{35293866-BF25-4FA8-8462-C4B4C8953DD3},,,,,0,0
55,128574,SoilPly_22,Bt,"Brandywine-urban land complex, 8 to 15 percent slopes",C,Brandywine-urban land complex,8 to 15 percent slopes,BtC,{06367A10-FA89-4F05-A352-D75B131DAC6A},,,,,0,0
56,128566,SoilPly_23,Be,"Beltsville-urban land complex, 0 to 8 percent slopes",B,Beltsville-urban land complex,0 to 8 percent slopes,BeB,{639AD790-1A99-4002-B28D-75B643E92C99},,,,,0,0
57,128631,SoilPly_24,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{E528F38A-C209-42B3-BEA7-5660C019D384},,,,,0,0
58,128574,SoilPly_25,Bt,"Brandywine-urban land complex, 8 to 15 percent slopes",C,Brandywine-urban land complex,8 to 15 percent slopes,BtC,{B197876A-D85B-4D52-9309-8B46690A6F63},,,,,0,0
59,128627,SoilPly_77,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{C358E3BD-1B43-47F2-B705-87738C676F19},,,,,0,0
60,128605,SoilPly_78,Gg,"Glenelg loam, 0 to 8 percent slopes",B,Glenelg loam,0 to 8 percent slopes,GgB,{7669A0BC-7E98-4993-B669-54414C74C840},,,,,0,0
61,128580,SoilPly_79,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{9FA3C7F2-2565-4160-BA03-F0ABA774A08A},,,,,0,0
62,128566,SoilPly_80,Be,"Beltsville-urban land complex, 0 to 8 percent slopes",B,Beltsville-urban land complex,0 to 8 percent slopes,BeB,{DA4BD6FE-8B7D-4450-9FC4-91DCFB88A5CC},,,,,0,0
63,128627,SoilPly_81,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{EA147039-F659-4D1A-B92B-41F50A0660B6},,,,,0,0
64,128580,SoilPly_82,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{CFACBAEE-873B-4E37-A3C3-73C7FDFC6084},,,,,0,0
65,128611,SoilPly_83,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{CC290025-07D7-4199-AB79-26B676E428AB},,,,,0,0
66,128588,SoilPly_84,Ck,Codorus Silt Loam, ,Codorus Silt Loam, ,Ck,{F5136BB8-CF58-4152-84AF-43BDB3F4D186},,,,,0,0
67,128575,SoilPly_85,Bt,"Brandywine-urban land complex, 15 to 40 percent slopes",D,Brandywine-urban land complex,15 to 40 percent slopes,BtD,{44EF6B72-6705-46EA-A480-D9C987400B66},,,,,0,0
68,128575,SoilPly_86,Bt,"Brandywine-urban land complex, 15 to 40 percent slopes",D,Brandywine-urban land complex,15 to 40 percent slopes,BtD,{DA69E48B-944A-46D3-888A-6A6EE86471D3},,,,,0,0
69,128606,SoilPly_87,Gg,"Glenelg loam, 8 to 15 percent slopes",C,Glenelg loam,8 to 15 percent slopes,GgC,{7D995179-B5AA-4506-B5DA-02A1049197BE},,,,,0,0
70,128605,SoilPly_88,Gg,"Glenelg loam, 0 to 8 percent slopes",B,Glenelg loam,0 to 8 percent slopes,GgB,{E15B9625-7BFE-4386-B3B7-82A578B7DB0F},,,,,0,0
71,128658,SoilPly_89,U1,Udorthents, ,Udorthents, ,U1,{5F4E7A52-5D72-469E-8231-96F9EBE0EFAA},,,,,0,0
72,128605,SoilPly_90,Gg,"Glenelg loam, 0 to 8 percent slopes",B,Glenelg loam,0 to 8 percent slopes,GgB,{56C11C6B-E0FE-422E-8FE0-46517C850E67},,,,,0,0
73,128627,SoilPly_91,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{0F5DFDD6-2797-4382-B8A8-080978895E40},,,,,0,0
74,128627,SoilPly_92,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{42E9D303-E5F7-4F60-89C1-30789D35B86D},,,,,0,0
75,128580,SoilPly_93,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{7A7902C3-5126-436E-A549-CADD30A91342},,,,,0,0
76,128612,SoilPly_94,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{EE20AF22-5A0A-40C7-9E04-EF39BB6B6962},,,,,0,0
77,128607,SoilPly_95,Gg,"Glenelg loam, 15 to 40 percent slopes",D,Glenelg loam,15 to 40 percent slopes,GgD,{A835279D-4B98-437A-90B4-8EC9C42A8E1B},,,,,0,0
78,128580,SoilPly_96,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{0199B9DA-22AD-45D0-B76A-DF036D39A861},,,,,0,0
79,128580,SoilPly_97,Cd,"Chillum-urban land complex,  8 to 15 percent slopes",C,Chillum-urban land complex,8 to 15 percent slopes,CdC,{A526BAD1-38EF-412B-AF2D-D30DF86FB215},,,,,0,0
80,128612,SoilPly_98,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{C464F8EA-BA04-4953-B565-546252943E99},,,,,0,0
81,128630,SoilPly_99,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{7CB96850-EA5B-49AF-A5AB-CBC24DEAE782},,,,,0,0
82,128627,SoilPly_100,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{8F59A754-95C2-4737-AE5C-4922638169BE},,,,,0,0
83,128564,SoilPly_101,As,"Ashe loam, 15 to 40 percent slopes",D,Ashe loam,15 to 40 percent slopes,AsD,{7AF358C9-D31C-4EE1-9D8F-EBD3F2BE9787},,,,,0,0
84,128631,SoilPly_102,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{84995640-8EB1-41F7-887C-34FDAE47FAFB},,,,,0,0
85,128588,SoilPly_103,Ck,Codorus Silt Loam, ,Codorus Silt Loam, ,Ck,{6EF0E4BD-D509-421B-A919-885369A06713},,,,,0,0
86,128564,SoilPly_104,As,"Ashe loam, 15 to 40 percent slopes",D,Ashe loam,15 to 40 percent slopes,AsD,{FAAB1A0A-762E-4D57-B055-8E011D136513},,,,,0,0
87,128627,SoilPly_105,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{37CB56D9-05F0-4AE0-95BA-AB2FB6C82BC5},,,,,0,0
88,128631,SoilPly_106,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{A424BF66-27E2-4F80-8D65-8FE57AAFED21},,,,,0,0
89,128565,SoilPly_107,Bd,"Beltsville silt loam, 0 to 8 percent slopes",B,Beltsville silt loam,0 to 8 percent slopes,BdB,{A9052C09-6806-4CF2-8FF6-2F09F9906A65},,,,,0,0
90,128684,SoilPly_108,Us,"Urban land-Manor complex, 8 to 15 percent slopes",C,Urban land-Manor complex,8 to 15 percent slopes,UsC,{09828224-17C0-42BD-BDB9-B3B4D392AA66},,,,,0,0
91,128611,SoilPly_109,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{593BC68D-A242-4922-AF8A-41CC84628B53},,,,,0,0
92,128574,SoilPly_110,Bt,"Brandywine-urban land complex, 8 to 15 percent slopes",C,Brandywine-urban land complex,8 to 15 percent slopes,BtC,{F7C2FD40-505C-40ED-9D80-28A53225B017},,,,,0,0
93,128612,SoilPly_111,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{A5CC0616-07C2-4337-B7A2-ACAF97254B76},,,,,0,0
94,128574,SoilPly_112,Bt,"Brandywine-urban land complex, 8 to 15 percent slopes",C,Brandywine-urban land complex,8 to 15 percent slopes,BtC,{8F8923B0-FA11-4774-A4BD-06B58014C8EC},,,,,0,0
95,128579,SoilPly_113,Cd,"Chillum-urban land complex,  0 to 8 percent slopes",B,Chillum-urban land complex,0 to 8 percent slopes,CdB,{624091F1-A5F5-4092-8C37-640976E51E8A},,,,,0,0
96,128672,SoilPly_114,Ub,Urban Land, ,Urban Land, ,Ub,{919C555A-2E5A-4C42-A951-9248B2838F02},,,,,0,0
97,128676,SoilPly_115,Ue,"Urban land-Chillum complex, 8 to 15 percent slopes",C,Urban land-Chillum complex,8 to 15 percent slopes,UeC,{01C0702A-BAB7-4301-835F-4F2A6D213139},,,,,0,0
98,128612,SoilPly_116,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{07E8F181-CD9C-482D-B2D1-3F4E99E32387},,,,,0,0
99,128611,SoilPly_117,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{4F6AECA3-181E-4E2D-8AB3-38E8856A9D9F},,,,,0,0
100,128648,SoilPly_118,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{F1D0733A-D692-453C-86FD-31DFEFCA0B36},,,,,0,0
101,128589,SoilPly_119,Cn,Codorus - Urban Land Complex, ,Codorus - Urban Land Complex, ,Cn,{1F1AAEF2-499E-4DDC-9CD6-CDAFAC868CB7},,,,,0,0
102,128627,SoilPly_120,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{4A965AC6-EA3E-4AC5-BF15-1BD12100C524},,,,,0,0
103,128612,SoilPly_121,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{0C1597D2-BC33-437B-AD2B-6D9F0853519F},,,,,0,0
104,128664,SoilPly_122,U3,"Udorthents, Sandy", ,"Udorthents, Sandy", ,U3,{5F644883-570D-4074-AC28-A23CB299203B},,,,,0,0
105,128605,SoilPly_123,Gg,"Glenelg loam, 0 to 8 percent slopes",B,Glenelg loam,0 to 8 percent slopes,GgB,{9B817E98-FD6E-4785-B016-70CFB7D3FC6C},,,,,0,0
106,128612,SoilPly_124,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{77E269CC-0EF8-40AD-9E55-6CBE91D2DE27},,,,,0,0
107,128608,SoilPly_59,Gh,"Glenelg-urban land complex, 0 to 8 percent slopes",B,Glenelg-urban land complex,0 to 8 percent slopes,GhB,{5D20AF2A-2874-4E50-9863-2FB6064DE088},,,,,0,0
108,128647,SoilPly_60,Sc,"Sassafras gravelly sandy loam, 8 to 15 percent slopes",C,Sassafras gravelly sandy loam,8 to 15 percent slopes,ScC,{CD267C97-675C-406A-A8DA-867BDB457EEF},,,,,0,0
109,128668,SoilPly_61,U7,"Udorthents, Gravelly, Smoothed", ,"Udorthents, Gravelly, Smoothed", ,U7,{C37BA57F-425B-4FF1-9662-5C1D7AC84D9A},,,,,0,0
110,128686,SoilPly_62,Ux,"Urban land-Sassafras complex, 8 to 15 percent slopes",C,Urban land-Sassafras complex,8 to 15 percent slopes,UxC,{AA2E177D-0D9E-41D7-89C0-A21DC2D70C54},,,,,0,0
111,128565,SoilPly_63,Bd,"Beltsville silt loam, 0 to 8 percent slopes",B,Beltsville silt loam,0 to 8 percent slopes,BdB,{1FC0CDAB-9A8C-4480-9EF3-C6D5605808B2},,,,,0,0
112,128611,SoilPly_64,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{DE92035B-BE7A-4A08-94D3-9C2F15C09C12},,,,,0,0
113,128573,SoilPly_65,Bt,"Brandywine-urban land complex, 0 to 8 percent slopes",B,Brandywine-urban land complex,0 to 8 percent slopes,BtB,{9E8D6C31-FC24-4A7A-847A-989005147E87},,,,,0,0
114,128628,SoilPly_66,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{F630F2DC-AA2B-4D07-B9E8-33F7A3177138},,,,,0,0
115,128649,SoilPly_67,Sg,"Sassafras-urban land complex, 0 to 8 percent slopes",B,Sassafras-urban land complex,0 to 8 percent slopes,SgB,{7599E3DB-AE73-46BC-A000-329E1FD58002},,,,,0,0
116,128650,SoilPly_68,Sg,"Sassafras-urban land complex, 8 to 15 percent slopes",C,Sassafras-urban land complex,8 to 15 percent slopes,SgC,{B2AF0D6A-B12F-45A9-B999-D1C44020C6EB},,,,,0,0
117,128649,SoilPly_69,Sg,"Sassafras-urban land complex, 0 to 8 percent slopes",B,Sassafras-urban land complex,0 to 8 percent slopes,SgB,{4013C848-C968-4E76-B1F0-460DC84FE009},,,,,0,0
118,128574,SoilPly_70,Bt,"Brandywine-urban land complex, 8 to 15 percent slopes",C,Brandywine-urban land complex,8 to 15 percent slopes,BtC,{A92E9602-74C2-49A3-9C67-DDB81F284C4E},,,,,0,0
119,128672,SoilPly_71,Ub,Urban Land, ,Urban Land, ,Ub,{318CF8B0-5CD1-41E5-9529-8C0DB051CB04},,,,,0,0
120,128628,SoilPly_72,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{75F16053-8D80-48F1-80A8-A2D236D76363},,,,,0,0
121,128686,SoilPly_73,Ux,"Urban land-Sassafras complex, 8 to 15 percent slopes",C,Urban land-Sassafras complex,8 to 15 percent slopes,UxC,{75750FC8-4278-4EF1-91AD-FBC24AA76AAF},,,,,0,0
122,128581,SoilPly_74,Cd,"Chillum-urban land complex,  15 to 40 percent slopes",D,Chillum-urban land complex,15 to 40 percent slopes,CdD,{C3DF2E7F-F230-43B9-80FC-A3CDB42B4562},,,,,0,0
123,128670,SoilPly_75,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{10A9B51F-F2F9-46BC-A06F-8297818231C3},,,,,0,0
124,128611,SoilPly_76,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{F27FC38A-ECC1-4BE8-AEC6-62D84BD14E2B},,,,,0,0
125,128611,SoilPly_141,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{9FAE2C5B-4575-4E99-A066-62EC68DAA707},,,,,0,0
126,128665,SoilPly_142,U4,"Udorthents, Loamy", ,"Udorthents, Loamy", ,U4,{3B896721-B91A-4C5B-84AC-40C78EBC8C5E},,,,,0,0
127,128631,SoilPly_143,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{232A6D09-F5A6-4458-A84E-B78DE7F795AB},,,,,0,0
128,128606,SoilPly_144,Gg,"Glenelg loam, 8 to 15 percent slopes",C,Glenelg loam,8 to 15 percent slopes,GgC,{8D6D1AD7-1F70-4DC4-AF80-497638519678},,,,,0,0
129,128631,SoilPly_145,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{C812D595-6E31-43A2-877F-7C40B21DB614},,,,,0,0
130,128611,SoilPly_146,Gl,"Glenelg variant silt loam, 0 to 8 percent slopes",B,Glenelg variant silt loam,0 to 8 percent slopes,GlB,{A0DFAF1B-2BEC-4EEE-B74B-E03F2268933A},,,,,0,0
131,128632,SoilPly_147,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{783EE594-A967-4915-B520-4D17BF2D706A},,,,,0,0
132,128632,SoilPly_148,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{32B3D473-1ACF-4265-B5BE-36857CE18D63},,,,,0,0
133,128684,SoilPly_149,Us,"Urban land-Manor complex, 8 to 15 percent slopes",C,Urban land-Manor complex,8 to 15 percent slopes,UsC,{2E8DDBB6-EF9B-4FBA-86E3-2CE243EE0951},,,,,0,0
134,128612,SoilPly_150,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{664EB96F-D34B-4101-9E61-DCA37DF50CB6},,,,,0,0
