OBJECTID,MUKEY,GIS_ID,TYPE,DESC_,SLOPE,TYPEDESC,SLOPEDESC,TYPE_ORIG,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
488,128627,SoilPly_443,Mb,"Manor loam, 8 to 15 percent slopes",C,Manor loam,8 to 15 percent slopes,MbC,{CFC9BD06-1C61-424F-875D-BB2EB429F264},,,,,0,0
489,128648,SoilPly_444,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{D977A0C8-9B52-4C0A-A057-B8630196750D},,,,,0,0
490,128685,SoilPly_445,Ux,"Urban land-Sassafras complex, 0 to 8 percent slopes",B,Urban land-Sassafras complex,0 to 8 percent slopes,UxB,{6B8305AF-262A-4F58-9A9E-2360B169E80A},,,,,0,0
491,128630,SoilPly_446,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{B6D9271E-9154-49A0-B02A-6C76C518FBBF},,,,,0,0
492,128669,SoilPly_447,U8,"Udorthents, Sandy, Smoothed", ,"Udorthents, Sandy, Smoothed", ,U8,{64DFCA52-0E53-4F0B-A014-38D0A76B8D3B},,,,,0,0
493,128670,SoilPly_448,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{EA04DE37-C2FC-458F-BFA7-287D6CE3B0AB},,,,,0,0
494,128624,SoilPly_449,Km,"Keyport-urban land complex, 8 to 15 percent slopes",C,Keyport-urban land complex,8 to 15 percent slopes,KmC,{46A557F3-6A38-4C76-B11C-05D4D6AB6E60},,,,,0,0
495,128658,SoilPly_450,U1,Udorthents, ,Udorthents, ,U1,{C8BD7488-F185-4745-9BC6-85D28C9A80DB},,,,,0,0
496,128650,SoilPly_451,Sg,"Sassafras-urban land complex, 8 to 15 percent slopes",C,Sassafras-urban land complex,8 to 15 percent slopes,SgC,{BCAAF142-1318-42FF-B536-1619F3A9C7A3},,,,,0,0
497,128573,SoilPly_452,Bt,"Brandywine-urban land complex, 0 to 8 percent slopes",B,Brandywine-urban land complex,0 to 8 percent slopes,BtB,{CEDE348C-02D1-4033-828D-15688FCC21C0},,,,,0,0
498,128621,SoilPly_453,Ke,"Keyport fine sandy loam, 0 to 8 percent slopes",B,Keyport fine sandy loam,0 to 8 percent slopes,KeB,{EBE9BC3C-763E-4F38-BDD0-553E6E3E999B},,,,,0,0
499,128654,SoilPly_504,Sm,"Sunnyside fine sandy loam, 15 to 40 percent slopes",D,Sunnyside fine sandy loam,15 to 40 percent slopes,SmD,{08DFBE3C-F7AB-4AB0-B3A0-896C596E9F2D},,,,,0,0
500,128631,SoilPly_505,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{53C375E0-2797-4915-9D05-EB3FB8A9635B},,,,,0,0
501,128684,SoilPly_506,Us,"Urban land-Manor complex, 8 to 15 percent slopes",C,Urban land-Manor complex,8 to 15 percent slopes,UsC,{B45CB370-F00E-4205-8DBC-A770FFB3D0FC},,,,,0,0
502,128648,SoilPly_507,Sc,"Sassafras gravelly sandy loam, 15 to 40 percent slopes",D,Sassafras gravelly sandy loam,15 to 40 percent slopes,ScD,{05C8B73F-CC73-428F-84E9-EAAB9B2E2CBB},,,,,0,0
503,128631,SoilPly_508,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{8368DAB2-9DA7-4FD1-85F4-5AE4EECB2346},,,,,0,0
504,128631,SoilPly_509,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{D2E1BD55-4EF6-46DA-9AC4-98AAB8DBFC6C},,,,,0,0
505,128647,SoilPly_510,Sc,"Sassafras gravelly sandy loam, 8 to 15 percent slopes",C,Sassafras gravelly sandy loam,8 to 15 percent slopes,ScC,{224A960D-B7A2-4CB9-BA19-391B482F351B},,,,,0,0
506,128621,SoilPly_511,Ke,"Keyport fine sandy loam, 0 to 8 percent slopes",B,Keyport fine sandy loam,0 to 8 percent slopes,KeB,{03092113-1CA4-40FF-B46B-40D91B75608C},,,,,0,0
507,128688,SoilPly_512,Uz,"Urban land-Woodstown complex, 0 to 8 percent slopes",B,Urban land-Woodstown complex,0 to 8 percent slopes,UzB,{273B5150-DE4C-4C75-80C6-4CC603EC55A1},,,,,0,0
508,128650,SoilPly_513,Sg,"Sassafras-urban land complex, 8 to 15 percent slopes",C,Sassafras-urban land complex,8 to 15 percent slopes,SgC,{9B44AD21-4089-472B-AF45-BE9BDC253CD4},,,,,0,0
509,128631,SoilPly_514,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{17E36C91-2F22-4391-90C9-D3CD01C308A9},,,,,0,0
